id;ilce;il_id
163;BOZDOĞAN;9
164;BOZKIR;42
165;BOZKURT;20
166;BOZKURT;37
167;BOZOVA;63
168;BOZTEPE;40
169;BOZÜYÜK;11
170;BOZYAZI;33
171;BUCA;35
172;BUCAK;15
173;BUHARKENT;9
174;BULANCAK;28
175;BULANIK;49
176;BULDAN;20
177;BURHANİYE;10
178;BÜNYAN;38
179;BÜYÜKÇEKMECE;34
180;BÜYÜKORHAN;16
181;CANİK;55
182;CEYHAN;1
183;CEYLANPINAR;63
184;CİDE;37
185;CİHANBEYLİ;42
186;CİZRE;73
187;CUMAYERİ;81
188;ÇAĞLAYANCERİT;46
189;ÇAL;20
190;ÇALDIRAN;65
191;ÇAMARDI;51
192;ÇAMAŞ;52
193;ÇAMELİ;20
194;ÇAMLIDERE;6
195;ÇAMLIHEMŞİN;53
196;ÇAMLIYAYLA;33
197;ÇAMOLUK;28
198;ÇAN;17
199;ÇANAKÇI;28
200;ÇANDIR;66
201;ÇANKAYA;6
202;ÇARDAK;20
203;ÇARŞAMBA;55
204;ÇARŞIBAŞI;61
205;ÇAT;25
206;ÇATAK;65
207;ÇATALCA;34
208;ÇATALPINAR;52
209;ÇATALZEYTİN;37
210;ÇAVDARHİSAR;43
211;ÇAVDIR;15
212;ÇAY;3
213;ÇAYBAŞI;52
214;ÇAYCUMA;67
215;ÇAYELİ;53
216;ÇAYIRALAN;66
217;ÇAYIRLI;24
218;ÇAYIROVA;41
219;ÇAYKARA;61
220;ÇEKEREK;66
221;ÇEKMEKÖY;34
222;ÇELEBİ;71
223;ÇELİKHAN;2
224;ÇELTİK;42
225;ÇELTİKÇİ;15
226;ÇEMİŞGEZEK;62
227;ÇERKEŞ;18
228;ÇERKEZKÖY;59
229;ÇERMİK;21
230;ÇEŞME;35
231;ÇILDIR;75
232;ÇINAR;21
233;ÇINARCIK;77
234;ÇİÇEKDAĞI;40
235;ÇİFTELER;26
236;ÇİFTLİK;51
237;ÇİFTLİKKÖY;77
238;ÇİĞLİ;35
239;ÇİLİMLİ;81
240;ÇİNE;9
241;ÇİVRİL;20
242;ÇOBANLAR;3
243;ÇORLU;59
244;ÇUBUK;6
245;ÇUKURCA;30
246;ÇUKUROVA;1
247;ÇUMRA;42
248;ÇÜNGÜŞ;21
249;DADAY;37
250;DALAMAN;48
251;DAMAL;75
252;DARENDE;44
253;DARGEÇİT;47
254;DARICA;41
255;DATÇA;48
256;DAZKIRI;3
257;DEFNE;31
258;DELİCE;71
259;DEMİRCİ;45
260;DEMİRKÖY;39
261;DEMİRÖZÜ;69
262;DEMRE;7
263;DERBENT;42
264;DEREBUCAK;42
265;DERELİ;28
266;DEREPAZARI;53
267;DERİK;47
268;DERİNCE;41
269;DERİNKUYU;50
270;DERNEKPAZARI;61
271;DEVELİ;38
272;DEVREK;67
273;DEVREKANİ;37
274;DİCLE;21
275;DİDİM;9
276;DİGOR;36
277;DİKİLİ;35
278;DİKMEN;57
279;DİLOVASI;41
280;DİNAR;3
281;DİVRİĞİ;58
282;DİYADİN;4
283;DODURGA;19
284;DOĞANHİSAR;42
285;DOĞANKENT;28
286;DOĞANŞAR;58
287;DOĞANŞEHİR;44
288;DOĞANYOL;44
289;DOĞANYURT;37
290;DOĞUBAYAZIT;4
291;DOMANİÇ;43
292;DÖRTDİVAN;14
293;DÖRTYOL;31
294;DÖŞEMEALTI;7
295;DULKADİROĞLU;46
296;DUMLUPINAR;43
297;DURAĞAN;57
298;DURSUNBEY;10
299;DÜZİÇİ;80
300;DÜZKÖY;61
301;ECEABAT;17
302;EDREMİT;10
303;EDREMİT;65
304;EFELER;9
305;EFLANİ;78
306;EĞİL;21
307;EĞİRDİR;32
308;EKİNÖZÜ;46
309;ELBEYLİ;79
310;ELBİSTAN;46
311;ELDİVAN;18
312;ELEŞKİRT;4
313;ELMADAĞ;6
314;ELMALI;7
315;EMET;43
316;EMİRDAĞ;3
317;EMİRGAZİ;42
318;ENEZ;22
319;ERBAA;60
320;ERCİŞ;65
321;ERDEK;10
322;ERDEMLİ;33
323;EREĞLİ;42
324;EREĞLİ;67
325;ERENLER;54
326;ERFELEK;57
327;ERGANİ;21
328;ERGENE;59
329;ERMENEK;70
330;ERUH;56
331;ERZİN;31
332;ESENLER;34
333;ESENYURT;34
334;ESKİL;68
335;ESKİPAZAR;78
336;ESPİYE;28
337;EŞME;64
338;ETİMESGUT;6
339;EVCİLER;3
340;EVREN;6
341;EYNESİL;28
342;EYÜP;34
343;EYYÜBİYE;63
344;EZİNE;17
345;FATİH;34
346;FATSA;52
347;FEKE;1
348;FELAHİYE;38
349;FERİZLİ;54
350;FETHİYE;48
351;FINDIKLI;53
352;FİNİKE;7
353;FOÇA;35
354;GAZİEMİR;35
355;GAZİOSMANPAŞA;34
356;GAZİPAŞA;7
357;GEBZE;41
358;GEDİZ;43
359;GELENDOST;32
360;GELİBOLU;17
361;GEMEREK;58
362;GEMLİK;16
363;GENÇ;12
364;GERCÜŞ;72
365;GEREDE;14
366;GERGER;2
367;GERMENCİK;9
368;GERZE;57
369;GEVAŞ;65
370;GEYVE;54
371;GÖKÇEADA;17
372;GÖKÇEBEY;67
373;GÖKSUN;46
374;GÖLBAŞI;2
375;GÖLBAŞI;6
376;GÖLCÜK;41
377;GÖLE;75
378;GÖLHİSAR;15
379;GÖLKÖY;52
380;GÖLMARMARA;45
381;GÖLOVA;58
382;GÖLPAZARI;11
383;GÖLYAKA;81
384;GÖMEÇ;10
385;GÖNEN;10
386;GÖNEN;32
387;GÖRDES;45
388;GÖRELE;28
389;GÖYNÜCEK;5
390;GÖYNÜK;14
391;GÜCE;28
392;GÜÇLÜKONAK;73
393;GÜDÜL;6
394;GÜLAĞAÇ;68
395;GÜLNAR;33
396;GÜLŞEHİR;50
397;GÜLYALI;52
398;GÜMÜŞHACIKÖY;5
399;GÜMÜŞOVA;81
400;GÜNDOĞMUŞ;7
401;GÜNEY;20
402;GÜNEYSINIR;42
403;GÜNEYSU;53
404;GÜNGÖREN;34
405;GÜNYÜZÜ;26
406;GÜRGENTEPE;52
407;GÜROYMAK;13
408;GÜRPINAR;65
409;GÜRSU;16
410;GÜRÜN;58
411;GÜZELBAHÇE;35
412;GÜZELYURT;68
413;HACIBEKTAŞ;50
414;HACILAR;38
415;HADİM;42
416;HAFİK;58
417;HALFETİ;63
418;HALİLİYE;63
419;HALKAPINAR;42
420;HAMAMÖZÜ;5
421;HAMUR;4
422;HAN;26
423;HANAK;75
424;HANİ;21
425;HANÖNÜ;37
426;HARMANCIK;16
427;HARRAN;63
428;HASANBEYLİ;80
429;HASANKEYF;72
430;HASKÖY;49
431;HASSA;31
432;HAVRAN;10
433;HAVSA;22
434;HAVZA;55
435;HAYMANA;6
436;HAYRABOLU;59
437;HAYRAT;61
438;HAZRO;21
439;HEKİMHAN;44
440;HEMŞİN;53
441;HENDEK;54
442;HINIS;25
443;HİLVAN;63
444;HİSARCIK;43
445;HİZAN;13
446;HOCALAR;3
447;HONAZ;20
448;HOPA;8
449;HORASAN;25
450;HOZAT;62
451;HÜYÜK;42
452;ILGAZ;18
453;ILGIN;42
454;İBRADI;7
455;İDİL;73
456;İHSANGAZİ;37
457;İHSANİYE;3
458;İKİZCE;52
459;İKİZDERE;53
460;İLİÇ;24
461;İLKADIM;55
462;İMAMOĞLU;1
463;İMRANLI;58
464;İNCESU;38
465;İNCİRLİOVA;9
466;İNEBOLU;37
467;İNEGÖL;16
468;İNHİSAR;11
469;İNÖNÜ;26
470;İPEKYOLU;65
471;İPSALA;22
472;İSCEHİSAR;3
473;İSKENDERUN;31
474;İSKİLİP;19
475;İSLAHİYE;27
476;İSPİR;25
477;İVRİNDİ;10
478;İYİDERE;53
479;İZMİT;41
480;İZNİK;16
481;KABADÜZ;52
482;KABATAŞ;52
483;KADIKÖY;34
484;KADINHANI;42
485;KADIŞEHRİ;66
486;KADİRLİ;80
487;KAĞITHANE;34
488;KAĞIZMAN;36
489;KAHRAMANKAZAN;6
490;KAHTA;2
491;KALE;20
492;KALE;44
493;KALECİK;6
494;KALKANDERE;53
495;KAMAN;40
496;KANDIRA;41
497;KANGAL;58
498;KAPAKLI;59
499;KARABAĞLAR;35
500;KARABURUN;35
501;KARACABEY;16
502;KARACASU;9
503;KARAÇOBAN;25
504;KARAHALLI;64
505;KARAİSALI;1
506;KARAKEÇİLİ;71
507;KARAKOÇAN;23
508;KARAKOYUNLU;76
509;KARAKÖPRÜ;63
510;KARAMANLI;15
511;KARAMÜRSEL;41
512;KARAPINAR;42
513;KARAPÜRÇEK;54
514;KARASU;54
515;KARATAŞ;1
516;KARATAY;42
517;KARAYAZI;25
518;KARESİ;10
519;KARGI;19
520;KARKAMIŞ;27
521;KARLIOVA;12
522;KARPUZLU;9
523;KARŞIYAKA;35
524;KARTAL;34
525;KARTEPE;41
526;KAŞ;7
527;KAVAK;55
528;KAVAKLIDERE;48
529;KAYAPINAR;21
530;KAYNARCA;54
531;KAYNAŞLI;81
532;KAZIMKARABEKİR;70
533;KEBAN;23
534;KEÇİBORLU;32
535;KEÇİÖREN;6
536;KELES;16
537;KELKİT;29
538;KEMAH;24
539;KEMALİYE;24
540;KEMALPAŞA;35
541;KEMER;7
542;KEMER;15
543;KEPEZ;7
544;KEPSUT;10
545;KESKİN;71
546;KESTEL;16
547;KEŞAN;22
548;KEŞAP;28
549;KIBRISCIK;14
550;KINIK;35
551;KIRIKHAN;31
552;KIRKAĞAÇ;45
553;KIZILCAHAMAM;6
554;KIZILIRMAK;18
555;KIZILÖREN;3
556;KIZILTEPE;47
557;KİĞI;12
558;KİLİMLİ;67
559;KİRAZ;35
560;KOCAALİ;54
561;KOCAKÖY;21
562;KOCASİNAN;38
563;KOÇARLI;9
564;KOFÇAZ;39
565;KONAK;35
566;KONYAALTI;7
567;KORGAN;52
568;KORGUN;18
569;KORKUT;49
570;KORKUTELİ;7
571;KOVANCILAR;23
572;KOYULHİSAR;58
573;KOZAKLI;50
574;KOZAN;1
575;KOZLU;67
576;KOZLUK;72
577;KÖPRÜBAŞI;45
578;KÖPRÜBAŞI;61
579;KÖPRÜKÖY;25
580;KÖRFEZ;41
581;KÖSE;29
582;KÖŞK;9
583;KÖYCEĞİZ;48
584;KULA;45
585;KULP;21
586;KULU;42
587;KULUNCAK;44
588;KUMLU;31
589;KUMLUCA;7
590;KUMRU;52
591;KURŞUNLU;18
592;KURTALAN;56
593;KURUCAŞİLE;74
594;KUŞADASI;9
595;KUYUCAK;9
596;KÜÇÜKÇEKMECE;34
597;KÜRE;37
598;KÜRTÜN;29
599;LAÇİN;19
600;LADİK;55
601;LALAPAŞA;22
602;LAPSEKİ;17
603;LİCE;21
604;LÜLEBURGAZ;39
605;MAÇKA;61
606;MADEN;23
607;MAHMUDİYE;26
608;MALAZGİRT;49
609;MALKARA;59
610;MALTEPE;34
611;MAMAK;6
612;MANAVGAT;7
613;MANYAS;10
614;MARMARA;10
615;MARMARAEREĞLİSİ;59
616;MARMARİS;48
617;MAZGİRT;62
618;MAZIDAĞI;47
619;MECİTÖZÜ;19
620;MELİKGAZİ;38
621;MENDERES;35
622;MENEMEN;35
623;MENGEN;14
624;MENTEŞE;48
625;MERAM;42
626;MERİÇ;22
627;MERKEZ;2
628;MERKEZ;3
629;MERKEZ;4
630;MERKEZ;5
631;MERKEZ;8
632;MERKEZ;11
633;MERKEZ;12
634;MERKEZ;13
635;MERKEZ;14
636;MERKEZ;15
637;MERKEZ;17
638;MERKEZ;18
639;MERKEZ;19
640;MERKEZ;22
641;MERKEZ;23
642;MERKEZ;24
643;MERKEZ;28
644;MERKEZ;29
645;MERKEZ;30
646;MERKEZ;32
647;MERKEZ;36
648;MERKEZ;37
649;MERKEZ;39
650;MERKEZ;40
651;MERKEZ;43
652;MERKEZ;49
653;MERKEZ;50
654;MERKEZ;51
655;MERKEZ;53
656;MERKEZ;56
657;MERKEZ;57
658;MERKEZ;58
659;MERKEZ;60
660;MERKEZ;62
661;MERKEZ;64
662;MERKEZ;66
663;MERKEZ;67
664;MERKEZ;68
665;MERKEZ;69
666;MERKEZ;70
667;MERKEZ;71
668;MERKEZ;72
669;MERKEZ;73
670;MERKEZ;74
671;MERKEZ;75
672;MERKEZ;76
673;MERKEZ;77
674;MERKEZ;78
675;MERKEZ;79
676;MERKEZ;80
677;MERKEZ;81
678;MERKEZEFENDİ;20
679;MERZİFON;5
680;MESUDİYE;52
681;MEZİTLİ;33
682;MİDYAT;47
683;MİHALGAZİ;26
684;MİHALIÇÇIK;26
685;MİLAS;48
686;MUCUR;40
687;MUDANYA;16
688;MUDURNU;14
689;MURADİYE;65
690;MURATLI;59
691;MURATPAŞA;7
692;MURGUL;8
693;MUSABEYLİ;79
694;MUSTAFAKEMALPAŞA;16
695;MUT;33
696;MUTKİ;13
697;NALLIHAN;6
698;NARLIDERE;35
699;NARMAN;25
700;NAZIMİYE;62
701;NAZİLLİ;9
702;NİKSAR;60
703;NİLÜFER;16
704;NİZİP;27
705;NURDAĞI;27
706;NURHAK;46
707;NUSAYBİN;47
708;ODUNPAZARI;26
709;OF;61
710;OĞUZELİ;27
711;OĞUZLAR;19
712;OLTU;25
713;OLUR;25
714;ONİKİŞUBAT;46
715;ORHANELİ;16
716;ORHANGAZİ;16
717;ORTA;18
718;ORTACA;48
719;ORTAHİSAR;61
720;ORTAKÖY;19
721;ORTAKÖY;68
722;OSMANCIK;19
723;OSMANELİ;11
724;OSMANGAZİ;16
725;OTLUKBELİ;24
726;OVACIK;62
727;OVACIK;78
728;ÖDEMİŞ;35
729;ÖMERLİ;47
730;ÖZALP;65
731;ÖZVATAN;38
732;PALANDÖKEN;25
733;PALU;23
734;PAMUKKALE;20
735;PAMUKOVA;54
736;PASİNLER;25
737;PATNOS;4
738;PAYAS;31
739;PAZAR;53
740;PAZAR;60
741;PAZARCIK;46
742;PAZARLAR;43
743;PAZARYERİ;11
744;PAZARYOLU;25
745;PEHLİVANKÖY;39
746;PENDİK;34
747;PERŞEMBE;52
748;PERTEK;62
749;PERVARİ;56
750;PINARBAŞI;37
751;PINARBAŞI;38
752;PINARHİSAR;39
753;PİRAZİZ;28
754;POLATELİ;79
755;POLATLI;6
756;POSOF;75
757;POZANTI;1
758;PURSAKLAR;6
759;PÜLÜMÜR;62
760;PÜTÜRGE;44
761;REFAHİYE;24
762;REŞADİYE;60
763;REYHANLI;31
764;SAFRANBOLU;78
765;SAİMBEYLİ;1
766;SALIPAZARI;55
767;SALİHLİ;45
768;SAMANDAĞ;31
769;SAMSAT;2
770;SANCAKTEPE;34
771;SANDIKLI;3
772;SAPANCA;54
773;SARAY;59
774;SARAY;65
775;SARAYDÜZÜ;57
776;SARAYKENT;66
777;SARAYKÖY;20
778;SARAYÖNÜ;42
779;SARICAKAYA;26
780;SARIÇAM;1
781;SARIGÖL;45
782;SARIKAMIŞ;36
783;SARIKAYA;66
784;SARIOĞLAN;38
785;SARIVELİLER;70
786;SARIYAHŞİ;68
787;SARIYER;34
788;SARIZ;38
789;SARUHANLI;45
790;SASON;72
791;SAVAŞTEPE;10
792;SAVUR;47
793;SEBEN;14
794;SEFERİHİSAR;35
795;SELÇUK;35
796;SELÇUKLU;42
797;SELENDİ;45
798;SELİM;36
799;SENİRKENT;32
800;SERDİVAN;54
801;SERİK;7
802;SERİNHİSAR;20
803;SEYDİKEMER;48
804;SEYDİLER;37
805;SEYDİŞEHİR;42
806;SEYHAN;1
807;SEYİTGAZİ;26
808;SINDIRGI;10
809;SİLİFKE;33
810;SİLİVRİ;34
811;SİLOPİ;73
812;SİLVAN;21
813;SİMAV;43
814;SİNANPAŞA;3
815;SİNCAN;6
816;SİNCİK;2
817;SİVASLI;64
818;SİVEREK;63
819;SİVRİCE;23
820;SİVRİHİSAR;26
821;SOLHAN;12
822;SOMA;45
823;SORGUN;66
824;SÖĞÜT;11
825;SÖĞÜTLÜ;54
826;SÖKE;9
827;SULAKYURT;71
828;SULTANBEYLİ;34
829;SULTANDAĞI;3
830;SULTANGAZİ;34
831;SULTANHİSAR;9
832;SULUOVA;5
833;SULUSARAY;60
834;SUMBAS;80
835;SUNGURLU;19
836;SUR;21
837;SURUÇ;63
838;SUSURLUK;10
839;SUSUZ;36
840;SUŞEHRİ;58
841;SÜLEYMANPAŞA;59
842;SÜLOĞLU;22
843;SÜRMENE;61
844;SÜTÇÜLER;32
845;ŞABANÖZÜ;18
846;ŞAHİNBEY;27
847;ŞALPAZARI;61
848;ŞAPHANE;43
849;ŞARKIŞLA;58
850;ŞARKİKARAAĞAÇ;32
851;ŞARKÖY;59
852;ŞAVŞAT;8
853;ŞEBİNKARAHİSAR;28
854;ŞEFAATLİ;66
855;ŞEHİTKAMİL;27
856;ŞEHZADELER;45
857;ŞEMDİNLİ;30
858;ŞENKAYA;25
859;ŞENPAZAR;37
860;ŞEREFLİKOÇHİSAR;6
861;ŞİLE;34
862;ŞİRAN;29
863;ŞİRVAN;56
864;ŞİŞLİ;34
865;ŞUHUT;3
866;TALAS;38
867;TARAKLI;54
868;TARSUS;33
869;TAŞKENT;42
870;TAŞKÖPRÜ;37
871;TAŞLIÇAY;4
872;TAŞOVA;5
873;TATVAN;13
874;TAVAS;20
875;TAVŞANLI;43
876;TEFENNİ;15
877;TEKKEKÖY;55
878;TEKMAN;25
879;TEPEBAŞI;26
880;TERCAN;24
881;TERMAL;77
882;TERME;55
883;TİLLO;56
884;TİRE;35
885;TİREBOLU;28
886;TOMARZA;38
887;TONYA;61
888;TOPRAKKALE;80
889;TORBALI;35
890;TOROSLAR;33
891;TORTUM;25
892;TORUL;29
893;TOSYA;37
894;TUFANBEYLİ;1
895;TURGUTLU;45
896;TURHAL;60
897;TUŞBA;65
898;TUT;2
899;TUTAK;4
900;TUZLA;34
901;TUZLUCA;76
902;TUZLUKÇU;42
903;TÜRKELİ;57
904;TÜRKOĞLU;46
905;UĞURLUDAĞ;19
906;ULA;48
907;ULAŞ;58
908;ULUBEY;52
909;ULUBEY;64
910;ULUBORLU;32
911;ULUDERE;73
912;ULUKIŞLA;51
913;ULUS;74
914;URLA;35
915;UZUNDERE;25
916;UZUNKÖPRÜ;22
917;ÜMRANİYE;34
918;ÜNYE;52
919;ÜRGÜP;50
920;ÜSKÜDAR;34
921;ÜZÜMLÜ;24
922;VAKFIKEBİR;61
923;VARTO;49
924;VEZİRKÖPRÜ;55
925;VİRANŞEHİR;63
926;VİZE;39
927;YAĞLIDERE;28
928;YAHŞİHAN;71
929;YAHYALI;38
930;YAKAKENT;55
931;YAKUTİYE;25
932;YALIHÜYÜK;42
933;YALVAÇ;32
934;YAPRAKLI;18
935;YATAĞAN;48
936;YAVUZELİ;27
937;YAYLADAĞI;31
938;YAYLADERE;12
939;YAZIHAN;44
940;YEDİSU;12
941;YENİCE;17
942;YENİCE;78
943;YENİÇAĞA;14
944;YENİFAKILI;66
945;YENİMAHALLE;6
946;YENİPAZAR;9
947;YENİPAZAR;11
948;YENİŞARBADEMLİ;32
949;YENİŞEHİR;16
950;YENİŞEHİR;21
951;YENİŞEHİR;33
952;YERKÖY;66
953;YEŞİLHİSAR;38
954;YEŞİLLİ;47
955;YEŞİLOVA;15
956;YEŞİLYURT;44
957;YEŞİLYURT;60
958;YIĞILCA;81
959;YILDIRIM;16
960;YILDIZELİ;58
961;YOMRA;61
962;YUMURTALIK;1
963;YUNAK;42
964;YUNUSEMRE;45
965;YUSUFELİ;8
966;YÜKSEKOVA;30
967;YÜREĞİR;1
968;ZARA;58
969;ZEYTİNBURNU;34
970;ZİLE;60
